Order:  {'timestamp': 1678806319, 'symbol': 'INFY', 'name': 'Infosys', 'side': 'sell', 'quantity': 6, 'price': 1735.09907568014, 'valid_until': '2023-03-14 23:00:00'}
Order:  {'timestamp': 1678806319, 'symbol': 'TCS', 'name': 'Tata Consultancy Services', 'side': 'buy', 'quantity': 1, 'price': 2509.2999210589705, 'valid_until': '2023-03-14 23:00:00'}
Order:  {'timestamp': 1678806319, 'symbol': 'Wipro', 'name': 'WIpro Inc.', 'side': 'buy', 'quantity': 9, 'price': 991.0463674393415, 'valid_until': '2023-03-14 23:00:00'}
Order:  {'timestamp': 1678806319, 'symbol': 'REL', 'name': 'Reliance', 'side': 'buy', 'quantity': 8, 'price': 3812.4196396669186, 'valid_until': '2023-03-14 23:00:00'}
Order:  {'timestamp': 1678806319, 'symbol': 'INFY', 'name': 'Infosys', 'side': 'sell', 'quantity': 10, 'price': 1717.9115124164477, 'valid_until': '2023-03-14 23:00:00'}
Order:  {'timestamp': 1678806319, 'symbol': 'TCS', 'name': 'Tata Consultancy Services', 'side': 'sell', 'quantity': 1, 'price': 2967.619943894069, 'valid_until': '2023-03-14 23:00:00'}
Order:  {'timestamp': 1678806319, 'symbol': 'Wipro', 'name': 'WIpro Inc.', 'side': 'sell', 'quantity': 3, 'price': 816.6041927409058, 'valid_until': '2023-03-14 23:00:00'}
Order:  {'timestamp': 1678806319, 'symbol': 'REL', 'name': 'Reliance', 'side': 'sell', 'quantity': 3, 'price': 4175.507875779695, 'valid_until': '2023-03-14 23:00:00'}
Order:  {'timestamp': 1678806319, 'symbol': 'INFY', 'name': 'Infosys', 'side': 'sell', 'quantity': 9, 'price': 1728.1799497467612, 'valid_until': '2023-03-14 23:00:00'}
Order:  {'timestamp': 1678806319, 'symbol': 'TCS', 'name': 'Tata Consultancy Services', 'side': 'buy', 'quantity': 3, 'price': 2745.0978949205787, 'valid_until': '2023-03-14 23:00:00'}
Order:  {'timestamp': 1678806319, 'symbol': 'Wipro', 'name': 'WIpro Inc.', 'side': 'buy', 'quantity': 4, 'price': 925.9978015809917, 'valid_until': '2023-03-14 23:00:00'}
Order:  {'timestamp': 1678806319, 'symbol': 'REL', 'name': 'Reliance', 'side': 'sell', 'quantity': 3, 'price': 3651.943358439411, 'valid_until': '2023-03-14 23:00:00'}
